WKT,OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN
"MULTIPOINT (-87.716737717467709 42.086222033021102)",214,17152.00000000,51217152.00000000,Kenilworth,Kenilworth,UP-N,17,1,15.20000000,D,0,A,1,55,,400 Richmond Rd.,Kenilworth,,,0,ks,1995/08/02,
"MULTIPOINT (-87.723728906846802 42.094622150525993)",215,17158.00000000,51217158.00000000,Indian Hill,Indian Hill,UP-N,17,1,15.80000000,D,1,N,1,87,,111 N. Green Bay Rd.,Winnetka,,,0,ks,1995/08/02,
"MULTIPOINT (-87.732590088411925 42.105289188618848)",216,17166.00000000,51217166.00000000,Winnetka,Winnetka,UP-N,17,1,16.60000000,D,0,A,1,87,,754 Elm St.,Winnetka,,,0,ks,1995/08/02,
"MULTIPOINT (-87.743441299406527 42.118184079700193)",217,17177.00000000,51217177.00000000,Hubbard Woods,Hubbard Woods,UP-N,17,1,17.70000000,D,1,N,1,79,,1065 Gage St.,Winnetka,,,0,ks,1995/08/02,
"MULTIPOINT (-87.758154049498899 42.135525189729108)",218,17192.00000000,51217192.00000000,Glencoe,Glencoe,UP-N,17,1,19.20000000,D,0,A,1,66,,724 Green Bay Rd.,Glencoe,,,0,ks,1995/08/02,
"MULTIPOINT (-87.7728285453545 42.15298640633975)",219,17205.00000000,51217205.00000000,Braeside,Braeside,UP-N,17,1,20.50000000,E,2,M,1,0,,10 N. St. John's Ave.,,,,0,ks,1995/08/02,
"MULTIPOINT (-87.776694477672493 42.157609834837423)",220,17212.00000000,51217212.00000000,Ravinia Park,Ravinia Park,UP-N,17,2,21.20000000,E,0,,0,19,,,Highland Park,,,0,ks,1995/09/14,
"MULTIPOINT (-87.783227547779532 42.165380005566021)",221,17215.00000000,51217215.00000000,Ravinia,Ravinia,UP-N,17,1,21.50000000,E,0,A,1,43,,510 Roger Williams Ave.,Highland Park,,,0,ks,1995/08/02,
"MULTIPOINT (-87.797713435573982 42.183512905552533)",222,17230.00000000,51217230.00000000,Highland Park,Highland Park,UP-N,17,1,23.00000000,E,0,A,1,578,,1800 St. John's Ave.,Highland Park,,,0,ks,1995/08/02,
"MULTIPOINT (-87.809997510470069 42.202419649579717)",223,17245.00000000,51217245.00000000,Highwood,Highwood,UP-N,17,1,24.50000000,E,0,A,1,0,,317 Green Bay Rd.,Highwood,,,0,ks,1995/08/02,
"MULTIPOINT (-87.821147726109146 42.217419897626137)",224,17257.00000000,51217257.00000000,Fort Sheridan,Fort Sheridan,UP-N,17,1,25.70000000,F,0,A,1,314,,461 W. Old Elm Rd.,,,,0,ks,1995/08/02,
"MULTIPOINT (-87.839714893356529 42.252358678125482)",225,17283.00000000,51217283.00000000,Lake Forest,Lake Forest,UP-N,17,1,28.30000000,F,0,A,1,62,,691 N. Western Ave.,Lake Forest,,,0,ks,1995/08/02,
"MULTIPOINT (-87.846763134826759 42.279588741139989)",226,17302.00000000,51217302.00000000,Lake Bluff,Lake Bluff,UP-N,17,1,30.20000000,G,0,A,1,0,,600 N. Sheridan Rd.,Lake Bluff,,,0,ks,1995/08/02,
"MULTIPOINT (-87.846634651153224 42.308342956959187)",227,17322.00000000,51217322.00000000,Great Lakes,Great Lakes,UP-N,17,1,32.20000000,G,0,N,0,0,,2840 S. Sheridan Rd.,North Chicago,,,0,ks,1995/09/14,
"MULTIPOINT (-87.83704321591506 42.328923816716014)",228,17332.00000000,51217332.00000000,North Chicago,North Chicago,UP-N,17,1,33.70000000,G,0,A,1,0,,1633 Lakeside,North Chicago,,,0,ks,1995/08/02,
"MULTIPOINT (-87.82795249793709 42.360636054241873)",229,17359.00000000,51217359.00000000,Waukegan,Waukegan,UP-N,17,1,35.90000000,H,0,A,1,0,,95 N. Spring St.,Waukegan,,,0,ks,1995/08/02,
"MULTIPOINT (-87.818128588153527 42.449513167544715)",230,17421.00000000,51217421.00000000,Zion,Zion,UP-N,17,1,42.10000000,I,0,A,1,0,,2501 S. Eden Rd.,Zion,,,0,ks,1995/08/02,
"MULTIPOINT (-87.81625575267401 42.482618853507624)",231,17445.00000000,51217445.00000000,Winthrop Harbor,Winthrop Harbor,UP-N,17,1,44.50000000,I,0,A,1,0,,701 N. Main St.,Winthrop Harbor,,,0,ks,1995/08/02,
"MULTIPOINT (-87.820906653128006 42.587318679102601)",232,17516.00000000,51217516.00000000,Kenosha,Kenosha,UP-N,17,1,51.50000000,K,0,N,1,0,,5414 13th Ave.,Winthrop Harbor,,,0,aef,2001/01/08,
"MULTIPOINT (-87.522372822239959 41.632058589737177)",233,0.00000000,0.00000000,Hammond,Hammond,S. Shore,3,1,0.00000000,,0,,0,0,,4531 Hohman Ave,Hammond,,,0,af,2005/09/22,
"MULTIPOINT (-87.481454290999167 41.612880074712322)",234,0.00000000,0.00000000,East Chicago,East Chicago,S. Shore,3,1,0.00000000,,0,,0,0,,5615 Indianapolis Blvd,East Chicago,,,0,af,2005/09/22,
"MULTIPOINT (-87.338813560230008 41.605238437733796)",235,0.00000000,0.00000000,Gary Metro,Gary Metro,S. Shore,3,1,0.00000000,,0,,0,0,,200 West 4th Ave,Gary,,,0,af,2005/09/22,
"MULTIPOINT (-87.263497015316347 41.59798299846188)",236,0.00000000,0.00000000,Miller,Miller,S. Shore,3,1,0.00000000,,0,,0,0,,Lake Street and U.S. Highway 12,Gary,,,0,af,2005/09/22,
"MULTIPOINT (-87.191490554913614 41.616492245693728)",237,0.00000000,0.00000000,Ogden Dunes,Ogden Dunes,S. Shore,3,1,0.00000000,,0,,0,0,,Hillcrest Road and U.S. Highway 12,Portage,,,0,af,2005/09/22,
"MULTIPOINT (-87.057833658488022 41.645899705640304)",238,0.00000000,0.00000000,Dune Park,Dune Park,S. Shore,3,1,0.00000000,,0,,0,0,,33 East U.S. Highway 12,Chesterton,,,0,af,2005/09/22,
"MULTIPOINT (-87.394800011145549 41.605216821182957)",239,0.00000000,0.00000000,Gary Airport,Gary/Chicago Airport,S. Shore,3,1,0.00000000,,0,,0,0,,Clark Rd and U.S. Highway 12,Gary,,,0,af,2005/09/22,
"MULTIPOINT (-88.050457049825823 42.359630518829384)",240,0.00000000,0.00000000,Washington St,Washington St,NCS,16,1,0.00000000,I,0,,0,0,,330 W Washington St,Grayslake,,,0,af,2011/04/28,
"MULTIPOINT (-88.015116701618396 42.320901539838843)",241,0.00000000,0.00000000,Prairie Crossing,Prairie Crossing/Libertyville,Milw-N,15,1,0.00000000,H,0,,0,0,,3001 Harris Rd,Libertyville,,,0,af,2011/04/28,
"MULTIPOINT (-87.873445057608222 41.975720715078083)",242,0.00000000,0.00000000,Rosemont,Rosemont,NCS,16,1,0.00000000,D,0,,0,0,,10005 Balmoral Ave,Rosemont,,,0,af,2011/04/28,
"MULTIPOINT (-87.868996495950014 41.963064749065936)",243,0.00000000,0.00000000,Schiller Park,Schiller Park,NCS,16,1,0.00000000,C,0,,0,0,,4555 Ruby St,Schiller Park,,,0,af,2011/04/28,
"MULTIPOINT (-87.860289366419011 41.938561249974725)",244,0.00000000,0.00000000,Belmont Ave,Belmont Ave,NCS,16,1,0.00000000,C,0,,0,0,,9280 Belmont Ave,Franklin Park,,,0,af,2011/04/28,
"MULTIPOINT (-87.746534048183264 41.914435168775107)",245,0.00000000,0.00000000,Grand-Cicero,Grand-Cicero,Milw-W,12,1,0.00000000,B,0,,0,0,,1833 N Cicero Ave,Chicago,,,0,af,2011/04/28,
"MULTIPOINT (-87.959904862633806 41.483164555647846)",246,0.00000000,0.00000000,Laraway Road,New Lenox Laraway Road,SWS,8,1,0.00000000,H,0,,0,0,,1861 Village Station Blvd,New Lenox,,,0,af,2011/04/28,
"MULTIPOINT (-88.079300806610107 41.524179730928203)",247,0.00000000,0.00000000,Joliet,Joliet,"Rock Is., Heritage",6,1,0.00000000,H,2,,0,0,,50 E Jefferson St,Joliet,,,0,af,2011/04/28,
